"","data_code","death_rate","age","race"
"255","SE_T040_002",1.2,"18 to 44 Years","White"
"256","SE_T040_002",NA,"18 to 44 Years","White"
"257","SE_T040_002",NA,"18 to 44 Years","White"
"258","SE_T040_002",NA,"18 to 44 Years","White"
"259","SE_T040_002",NA,"18 to 44 Years","White"
"260","SE_T040_002",NA,"18 to 44 Years","White"
"261","SE_T040_002",NA,"18 to 44 Years","White"
"262","SE_T040_002",NA,"18 to 44 Years","White"
"263","SE_T040_002",NA,"18 to 44 Years","White"
"264","SE_T040_002",NA,"18 to 44 Years","White"
"265","SE_T040_002",NA,"18 to 44 Years","White"
"266","SE_T040_002",NA,"18 to 44 Years","White"
"267","SE_T040_002",NA,"18 to 44 Years","White"
"268","SE_T040_002",NA,"18 to 44 Years","White"
"269","SE_T040_002",NA,"18 to 44 Years","White"
"270","SE_T040_002",NA,"18 to 44 Years","White"
"271","SE_T040_002",NA,"18 to 44 Years","White"
"272","SE_T040_002",NA,"18 to 44 Years","White"
"273","SE_T040_002",NA,"18 to 44 Years","White"
"274","SE_T040_002",NA,"18 to 44 Years","White"
"275","SE_T040_002",NA,"18 to 44 Years","White"
"276","SE_T040_002",NA,"18 to 44 Years","White"
"277","SE_T040_002",NA,"18 to 44 Years","White"
"278","SE_T040_002",NA,"18 to 44 Years","White"
"279","SE_T040_002",NA,"18 to 44 Years","White"
"280","SE_T040_002",NA,"18 to 44 Years","White"
"281","SE_T040_002",NA,"18 to 44 Years","White"
"282","SE_T040_002",NA,"18 to 44 Years","White"
"283","SE_T040_002",NA,"18 to 44 Years","White"
"284","SE_T040_002",NA,"18 to 44 Years","White"
"285","SE_T040_002",NA,"18 to 44 Years","White"
"286","SE_T040_002",NA,"18 to 44 Years","White"
"287","SE_T040_002",NA,"18 to 44 Years","White"
"288","SE_T040_002",NA,"18 to 44 Years","White"
"289","SE_T040_002",NA,"18 to 44 Years","White"
"290","SE_T040_002",NA,"18 to 44 Years","White"
"291","SE_T040_002",NA,"18 to 44 Years","White"
"292","SE_T040_002",NA,"18 to 44 Years","White"
"293","SE_T040_002",NA,"18 to 44 Years","White"
"294","SE_T040_002",NA,"18 to 44 Years","White"
"295","SE_T040_002",NA,"18 to 44 Years","White"
"296","SE_T040_002",NA,"18 to 44 Years","White"
"297","SE_T040_002",NA,"18 to 44 Years","White"
"298","SE_T040_002",NA,"18 to 44 Years","White"
"299","SE_T040_002",0.8,"18 to 44 Years","White"
"300","SE_T040_002",NA,"18 to 44 Years","White"
"301","SE_T040_002",NA,"18 to 44 Years","White"
"302","SE_T040_002",NA,"18 to 44 Years","White"
"303","SE_T040_002",NA,"18 to 44 Years","White"
"304","SE_T040_002",NA,"18 to 44 Years","White"
"305","SE_T040_002",NA,"18 to 44 Years","White"
"306","SE_T040_002",NA,"18 to 44 Years","White"
"307","SE_T040_002",NA,"18 to 44 Years","White"
"308","SE_T040_002",NA,"18 to 44 Years","White"
"309","SE_T040_002",NA,"18 to 44 Years","White"
"310","SE_T040_002",NA,"18 to 44 Years","White"
"311","SE_T040_002",NA,"18 to 44 Years","White"
"312","SE_T040_002",NA,"18 to 44 Years","White"
"313","SE_T040_002",NA,"18 to 44 Years","White"
"314","SE_T040_002",NA,"18 to 44 Years","White"
"315","SE_T040_002",NA,"18 to 44 Years","White"
"316","SE_T040_002",NA,"18 to 44 Years","White"
"317","SE_T040_002",NA,"18 to 44 Years","White"
"318","SE_T040_002",NA,"18 to 44 Years","White"
"319","SE_T040_002",NA,"18 to 44 Years","White"
"320","SE_T040_002",NA,"18 to 44 Years","White"
"321","SE_T040_002",NA,"18 to 44 Years","White"
"322","SE_T040_002",NA,"18 to 44 Years","White"
"323","SE_T040_002",NA,"18 to 44 Years","White"
"324","SE_T040_002",NA,"18 to 44 Years","White"
"325","SE_T040_002",NA,"18 to 44 Years","White"
"326","SE_T040_002",NA,"18 to 44 Years","White"
"327","SE_T040_002",NA,"18 to 44 Years","White"
"328","SE_T040_002",NA,"18 to 44 Years","White"
"329","SE_T040_002",NA,"18 to 44 Years","White"
"330","SE_T040_002",NA,"18 to 44 Years","White"
"331","SE_T040_002",NA,"18 to 44 Years","White"
"332","SE_T040_002",NA,"18 to 44 Years","White"
"333","SE_T040_002",NA,"18 to 44 Years","White"
"334","SE_T040_002",NA,"18 to 44 Years","White"
